CODE	Label - English	Label - French	Label - German	Standard code	Note (EN only)
CP05311B2	Fridge-freezer, energy efficiency A+ (1 piece)	Réfrigérateur-congélateur, efficacité énergétique A+ (1 pièce)	Kühl-Gefrierkombination, Energieeffizienz A+ (1 Stück)	Y	
CP05312	Clothes washing machines, clothes drying machines and dish washing machines	Lave-linge, sèche-linge et lave-vaiselle	Waschmaschinen, Wäschetrockner und Geschirrspülmaschinen	Y	
CP05312A1	Washing machine, 4.5-5 kg (1 piece)	Lave-linge, 4.5-5 kg (1 pièce)	Waschmaschine, 4.5-5 kg (1 Stück)	Y	
CP05312A2	Washing machine, 6-7 kg, energy efficiency A/A+ (1 piece)	Lave-linge, 6-7 kg, efficacité énergétique A/A+ (1 pièce)	Waschmaschine, 6-7 kg, Energieeffizienz A/A+ (1 Stück)	Y	
CP05312A3	Washing machine, 6-7 kg, energy efficiency A++/A+++ (1 piece)	Lave-linge, 6-7 kg, efficacité énergétique A++/A+++ (1 pièce)	Waschmaschine, 6-7 kg, Energieeffizienz A++/A+++ (1 Stück)	Y	
CP05313	Cookers	Cuisinières	Kocher	Y	
CP05313A	Microwave oven (1 piece)	Four à micro-ondes (1 pièce)	Mikrowellenherd (1 Stück)	Y	
CP05314	Heaters, air conditioners	Appareils de chauffage et de climatisation	Heizgeräte und Klimaanlagen	Y	
CP05315	Cleaning equipment	Matériel de nettoyage	Reinigungsgeräte	Y	
CP05315A1	Vacuum cleaner, 1400-1600 W (1 piece)	Aspirateur, 1400-1600 W (1 pièce)	Staubsauger, 1400-1600 W (1 Stück)	Y	
CP05315A2	Vacuum cleaner, 1600-2000 W (1 piece)	Aspirateur, 1600-2000 W (1 pièce)	Staubsauger, 1600-2000 W (1 Stück)	Y	
CP05315A3	Vacuum cleaner, 1600-2200 W (1 piece)	Aspirateur, 1600-2200 W (1 pièce)	Staubsauger, 1600-2200 W (1 Stück)	Y	
CP05315A4	Vacuum cleaner, 1400 W (1 piece)	Aspirateur, 1400 W (1 pièce)	Staubsauger, 1400 W (1 Stück)	Y	
CP05319	Other major household appliances	Autres gros appareils ménagers	Sonstige Haushalts-Großgeräte	Y	
CP0532	Small electric household appliances	Petits appareils électroménagers	Elektrische Haushalts-Kleingeräte	Y	
CP05321	Food processing appliances	Appareils de transformation d'aliments	Geräte zur Lebensmittelverarbeitung	Y	
CP05322	Coffee machines, tea-makers and similar appliances	Cafetières électriques, théières et appareils similaires	Kaffeemschinen, Teezubereiter und sonstige ähnliche Geräte	Y	
CP05322A1	Kettle, 1.5l (1 piece)	Bouilloire, 1.5l (1 pièce)	Wasserkocher, 1.5l (1 Stück)	Y	
CP05322A2	Kettle, 1.7l (1 piece)	Bouilloire, 1.7l (1 pièce)	Wasserkocher, 1.7l (1 Stück)	Y	
CP05323	Irons	Fers à repasser	Bügeleisen	Y	
CP05324	Toasters and grills	Grille-pain et grils	Toaster und Grills	Y	
CP05329	Other small electric household appliances	Autres petits appareils électroménagers	Sonstige elektrische Haushalts-Kleingeräte	Y	
CP0533	Repair of household appliances	Réparation d' appareils ménagers	Reparatur von Haushaltsgeräten	Y	
CP05330	Repair of household appliances	Réparation d' appareils ménagers	Reparatur von Haushaltsgeräten	Y	
CP054	Glassware, tableware and household utensils	Verrerie, vaisselle et ustensiles de ménage	Glaswaren, Geschirr und andere Gebrauchsgüter für die Haushaltsführung	Y	
CP0540	Glassware, tableware and household utensils	Verrerie, vaisselle et ustensiles de ménage	Glaswaren, Geschirr und andere Gebrauchsgüter für die Haushaltsführung	Y	
CP05401	Glassware, crystal-ware, ceramic ware and chinaware	Verrerie, cristallerie, céramique et porcelaine	Glas- und Kristallwaren, Geschirr und Porzellan	Y	
CP05401A	Glass for water (1 piece)	Verre à eau (1 pièce)	Wasserglas (1 Stück)	Y	
